%  hypsometry data
%  created by Bryce Glenn, Julian Cross, and Maciek Obryk
%  orthometric heights
%  based on local datum (WGS84 -56.3 m)
%  Depth h (m)    Area A Min RIS (m^2)	Area A No RIS (m^2)
63.653	4485792
63.753	4492916
63.853	4499556
63.953	4506228
64.053	4512824
64.153	4519692
64.253	4526368
64.353	4533468
64.453	4540696
64.553	4547880
64.653	4554740
64.753	4561532
64.853	4568116
64.953	4574204
65.053	4578452
65.153	4580788
65.253	4581984
65.353	4582908
65.453	4588548
65.553	4598408
65.653	4609820
65.753	4620460
65.853	4629880
65.953	4638556
66.053	4646716
66.153	4654972
66.253	4663048
66.353	4670664
66.453	4677976
66.553	4685716
66.653	4692988
66.753	4700396
66.853	4707168
66.953	4714420
67.053	4721596
67.153	4728660
67.253	4735784
67.353	4742888
67.453	4749928
67.553	4757284
67.653	4764576
67.753	4772056
67.853	4779696
67.953	4787160
68.053	4794388
68.153	4801692
68.253	4809508
68.353	4817080
68.453	4824392
68.553	4831496
68.653	4838864
68.753	4846044
68.853	4853496
68.953	4861192
69.053	4868680
69.153	4876028
69.253	4883340
69.353	4890940
69.453	4898172
69.553	4905856
69.653	4913000
69.753	4920148
69.853	4927536
69.953	4934620
70.053	4941584
70.153	4948488
70.253	4955304
70.353	4962436
70.453	4969332
70.553	4976276
70.653	4983272
70.753	4990660
70.853	4997600
70.953	5004776
71.053	5012112
71.153	5019484
71.253	5026820
71.353	5034176
71.453	5041508
71.553	5048692
71.653	5055976
71.753	5063400
71.853	5070568
71.953	5078088
72.053	5085548
72.153	5092740
72.253	5100368
72.353	5107764
72.453	5115088
72.553	5123096
72.653	5130780
72.753	5138656
72.853	5146376
72.953	5154360
73.053	5162092
73.153	5169872
73.253	5178004
73.353	5186308
73.453	5194772
73.553	5203496
73.653	5212376
73.753	5221144
73.853	5230264
73.953	5239320
74.053	5248384
74.153	5257700
74.253	5266760
74.352	5276068
74.452	5285496
74.552	5294872
74.652	5303936
74.752	5312820
74.852	5322000
74.952	5330368
75.052	5339080
75.152	5347348
75.252	5355720
75.352	5363924
75.452	5371932
75.552	5380372
75.652	5388452
75.752	5396452
75.852	5404472
75.952	5412772
76.052	5421280
76.152	5429176
76.252	5437132
76.352	5445680
76.452	5454152
76.552	5462712
76.652	5471452
76.752	5480280
76.852	5488516
76.952	5497272
77.052	5506268
77.152	5515096
77.252	5523992
77.352	5532860
77.452	5541872
77.552	5550768
77.652	5559784
77.752	5568592
77.852	5577520
77.952	5586128
78.052	5594788
78.152	5602996
78.252	5611356
78.352	5622328
78.452	5632288
78.552	5642704
78.652	5652448
78.752	5662436
78.852	5672176
78.952	5682320
79.052	5692288
79.152	5702788
79.252	5712924
79.352	5723392
79.452	5733884
79.552	5743804
79.652	5754228
79.752	5764332
79.852	5774684
79.952	5784988
80.052	5795284
80.152	5805680
80.252	5816128
80.352	5826332
80.452	5836876
80.552	5847424
80.652	5858296
80.752	5868724
80.852	5879004
80.952	5889152
81.052	5899392
81.152	5909560
81.252	5919708
81.352	5929524
81.452	5939236
81.552	5948908
81.652	5958680
81.752	5968620
81.852	5978648
